"","gene","log2FoldChange","pvalue","cell","comparision"
"200","Sub1",2.73851532790027,0.0029835003251652,"mySC","DR_vs_SD"
"201","Lrp12",1.80258108364555,0.000536483169984937,"mySC","DR_vs_SD"
"202","Cd86",3.22213837337365,0.00867407244443424,"mySC","DR_vs_SD"
"203","Yju2",-0.656605411276067,0.00487082513052651,"mySC","DR_vs_SD"
"204","Epas1",3.65016964459904,0.00990972760811573,"mySC","DR_vs_SD"
"205","Wac",-0.47812961426321,0.00319410933853301,"mySC","DR_vs_SD"
"206","Abhd3",1.63126109692984,0.00285560587190364,"mySC","DR_vs_SD"
"207","Epb41l4a",-0.551823811436639,0.00812951555363558,"mySC","DR_vs_SD"
"208","Fchsd1",-0.664730919020617,0.00459106640065362,"mySC","DR_vs_SD"
"209","Rad9a",0.554759229317541,0.00900447626171941,"mySC","DR_vs_SD"
"210","B4gat1",0.93413336916411,0.00447818246674996,"mySC","DR_vs_SD"
"211","Wdr74",-0.68993887159056,0.00825368396997484,"mySC","DR_vs_SD"
"212","Eef1g",1.1420140423996,0.00851556639512292,"mySC","DR_vs_SD"
"213","Rfk",1.38467692018495,0.000370838812886724,"mySC","DR_vs_SD"
"214","Tctn3",-0.709327371929422,0.0080216760430364,"mySC","DR_vs_SD"
"215","Borcs71",-1.21823636520726,0.000158783846134278,"mySC","DR_vs_SD"
"216","Col3a11",0.466572275311223,0.0082289867313345,"mySC","DREX_vs_EX"
"217","Hjurp",-0.281006523340517,0.00474395405312788,"mySC","DREX_vs_EX"
"218","Per2",-0.681272510389506,0.00192750725394921,"mySC","DREX_vs_EX"
"219","Colgalt2",1.94004616337532,0.000449626390214639,"mySC","DREX_vs_EX"
"220","Ncf21",-0.546467188380043,0.00342811578158765,"mySC","DREX_vs_EX"
"221","Shcbp1l",-1.50946273583932,0.00799558728332431,"mySC","DREX_vs_EX"
"222","Tada1",-0.802277547980729,0.00516142279424908,"mySC","DREX_vs_EX"
"223","Fmn2",0.321372029872762,0.00279351166208742,"mySC","DREX_vs_EX"
"224","Ralgds1",-0.545879361554539,0.00074888366303432,"mySC","DREX_vs_EX"
"225","Mapk8ip1",-0.323847421375363,0.00233010289045812,"mySC","DREX_vs_EX"
"226","Pdhx",0.530626750050446,0.00583750539522841,"mySC","DREX_vs_EX"
"227","Serf2",-0.572772664396439,0.00452006791068527,"mySC","DREX_vs_EX"
"228","Eid11",-0.434560308015928,0.00074304887815178,"mySC","DREX_vs_EX"
"229","Spef1",-1.17899586657173,0.00311196157589546,"mySC","DREX_vs_EX"
"230","H13",-0.456620973454723,0.00552893326092787,"mySC","DREX_vs_EX"
"231","Snta11",-0.393103219780762,0.00338695315197923,"mySC","DREX_vs_EX"
"232","Tnnc21",2.69183093266152,0.00774387423709711,"mySC","DREX_vs_EX"
"233","Etfdh",0.582491371671183,0.00317013487591693,"mySC","DREX_vs_EX"
"234","Il6ra",-0.561001793018243,0.0037775419557282,"mySC","DREX_vs_EX"
"235","C2cd4d",-0.627073072064591,0.000530295615381495,"mySC","DREX_vs_EX"
"236","Rorc1",-0.609295195055405,0.00140417276567322,"mySC","DREX_vs_EX"
"237","Txnip",0.698201963018623,0.00517979452235144,"mySC","DREX_vs_EX"
"238","Celsr2",0.319305622119704,0.00307130366685325,"mySC","DREX_vs_EX"
"239","Etnppl1",-0.917991749103594,6.49727091189844e-05,"mySC","DREX_vs_EX"
"240","Pdlim51",0.300212253592656,0.00119300438419426,"mySC","DREX_vs_EX"
"241","Grik3",1.30208161211437,0.00501578987611204,"mySC","DREX_vs_EX"
"242","Col16a11",0.824199368071549,0.0035941104651981,"mySC","DREX_vs_EX"
"243","Nbl1",-0.484597366693269,0.00477867429684401,"mySC","DREX_vs_EX"
"244","Col28a1",0.977915061958763,0.000314763857120861,"mySC","DREX_vs_EX"
"245","Mat2a1",-0.201716392278081,0.00357096609498537,"mySC","DREX_vs_EX"
"246","Ttll31",-0.738291518333093,0.0073532008302705,"mySC","DREX_vs_EX"
"247","Pak4",0.657800016181806,0.00301634999089362,"mySC","DREX_vs_EX"
"248","Tjp12",0.366164110731021,0.00155519040515691,"mySC","DREX_vs_EX"
"249","Man2a2",0.404197176878677,0.00889949844709082,"mySC","DREX_vs_EX"
"250","Arhgef17",-0.300908506219413,0.00886639377647346,"mySC","DREX_vs_EX"
"251","Cyb5r2",-0.757073102425703,0.00114584578535127,"mySC","DREX_vs_EX"
"252","Lmo11",-0.544316968353502,0.000463516822403717,"mySC","DREX_vs_EX"
"253","Zmat4",0.875431224231537,0.00302998204200379,"mySC","DREX_vs_EX"
"254","Cox4i1",-1.11388274459751,0.00802922399760109,"mySC","DREX_vs_EX"
"255","Slc7a5",-0.383429125558305,0.00827789497918618,"mySC","DREX_vs_EX"
"256","Ppp2r1b1",1.18600378460817,0.00788397210999999,"mySC","DREX_vs_EX"
"257","Fam81a",0.696307923345711,0.00420260314027524,"mySC","DREX_vs_EX"
"258","Nedd4",-0.387753661661923,0.00950548844855116,"mySC","DREX_vs_EX"
"259","Plcd1",0.845515203673279,0.00781475796189603,"mySC","DREX_vs_EX"
"260","Sgk1",-0.538297698114697,0.000320575966937563,"mySC","DREX_vs_EX"
"261","Pbld21",-1.48482477423058,0.0043739882049633,"mySC","DREX_vs_EX"
"262","Pttg1ip",-0.333880435849914,0.0017157023058216,"mySC","DREX_vs_EX"
"263","Syde1",0.430663191860612,0.00658140487245818,"mySC","DREX_vs_EX"
"264","Plk5",-0.619514780577281,0.00114254139329555,"mySC","DREX_vs_EX"
"265","Patz1",0.295315010025011,0.0077860362222269,"mySC","DREX_vs_EX"
"266","Castor1",-0.988038976993332,0.0030663474029245,"mySC","DREX_vs_EX"
"267","Emid11",0.411958643895392,0.00457744351707215,"mySC","DREX_vs_EX"
"268","Eml6",-0.590523817578889,0.00471964465444898,"mySC","DREX_vs_EX"
"269","Pld2",0.601719183745847,0.0075583478303956,"mySC","DREX_vs_EX"
"270","Fam57a1",-0.675004958274815,5.20403497268218e-05,"mySC","DREX_vs_EX"
"271","Rhot1",-0.237117697439174,0.00265753968657019,"mySC","DREX_vs_EX"
"272","Appbp21",-0.320029810210788,0.00375255920719221,"mySC","DREX_vs_EX"
"273","Abca8a",1.04954841437833,0.00217749359392817,"mySC","DREX_vs_EX"
"274","Dus4l",-0.893787406063427,0.00786432228257531,"mySC","DREX_vs_EX"
"275","Slirp",-0.562999735676321,0.00990336002506673,"mySC","DREX_vs_EX"
"276","Slc25a29",-0.683603989007275,0.0061327500326927,"mySC","DREX_vs_EX"
"277","Cage11",-0.491647103498192,0.00565562013061018,"mySC","DREX_vs_EX"
"278","Nol7",0.713011495057381,0.00412765865263239,"mySC","DREX_vs_EX"
"279","Wnk2",0.588477864944,0.00667546354729399,"mySC","DREX_vs_EX"
"280","Bicd2",-0.34686639783776,0.0005837533586758,"mySC","DREX_vs_EX"
"281","Ogn",-0.448089946605717,0.00318185676838629,"mySC","DREX_vs_EX"
"282","Sema4d",2.51042008616802,0.00978277200118276,"mySC","DREX_vs_EX"
"283","Zfp346",0.519069278476013,0.00220929012931117,"mySC","DREX_vs_EX"
"284","Arhgef281",0.692812361808397,0.00250429596214556,"mySC","DREX_vs_EX"
"285","Mocs2",-0.326835720303993,0.00234568187250972,"mySC","DREX_vs_EX"
"286","Arhgef40",0.310512477835264,5.63279892362403e-05,"mySC","DREX_vs_EX"
"287","Bcl2l2",-0.246823359764523,0.00472981377903189,"mySC","DREX_vs_EX"
"288","Tssk4",-0.811971077844508,0.00472952196542552,"mySC","DREX_vs_EX"
"289","Ncald",1.01024049319399,0.00135663195231819,"mySC","DREX_vs_EX"
"290","Fbxl6",0.59204389100441,0.001086942116541,"mySC","DREX_vs_EX"
"291","Nr4a11",-0.381613145335414,0.00237344225028512,"mySC","DREX_vs_EX"
"292","Ntan1",-0.453714556924066,0.00115362854768141,"mySC","DREX_vs_EX"
"293","Naa50",-0.545608917732826,0.00847391746347119,"mySC","DREX_vs_EX"
"294","Tbc1d23",-0.335567315943287,0.00198024057714929,"mySC","DREX_vs_EX"
"295","Arid1b",0.385695129136792,0.00424347578672922,"mySC","DREX_vs_EX"
"296","Fkbp51",-1.61272606239147,0.000409409209300437,"mySC","DREX_vs_EX"
"297","Atp6v1g2",-0.596075142054645,0.00820360889387438,"mySC","DREX_vs_EX"
